,NUs Type,Location,Development Typologies,Concept,Archetype,old name,published name,Density (u/ac),Density (FAR),Building Content
Existing,Residential Service Clusters (RS),Suburban Inner,5. Streetcar Suburb,Walkable Precinct,RS-I1,CR2,CR/I V1,Medium density (10 - 35 du/ac),-,"14x Attached Houses (2-St, Residential, 180sqm) + 3x Mid-Rise (4-St, Residential, 784sqm) + 1x Primary School (1-St, Institutional, 6871sqm) + 1x Small Office (1-St, Commercial, 511sqm) + 1x QSR (1-St, Commercial, 232sqm) + 1x FSR (1-St, Commercial, 511sqm)"
Existing,Residential Service Clusters (RS),Urban Mid-zone,5. Streetcar Suburb,Community Corridor,RS-I2,CR3,CR/I V2,Medium density (10 - 35 du/ac),-,"5x Mid-Rise (4-St, Residential, 784sqm) + 1x Secondary School (2-St, Institutional, 5553sqm) + 1x Medium Office (3-St, Commercial, 1661sqm) + 1x Small Office (1-St, Commercial, 511sqm) + 1x Small Retail (1-St, Commercial, 390sqm) + 1x QSR (1-St, Commercial, 232sqm) + 1x FSR (1-St, Commercial, 511sqm)"
Previous,Residential Service Clusters (RS),Suburban Outer,7. Peripheral Community,School District,RS-I3,CR4,MU1,Very low density (< 5 du/ac),-,"28x Attached Houses (2-St, Residential, 180sqm) + 1x Primary School (1-St, Institutional, 6871sqm) + 1x Small Retail (1-St, Commercial, 390sqm) + 1x QSR (1-St, Commercial, 232sqm)"
Previous,Residential Service Clusters (RS),Suburban Inner,5. Streetcar Suburb,Education Block,RS-I4,CR5,MU2,Medium density (10 - 35 du/ac),-,"5x Mid-Rise (4-St, Residential, 784sqm) + 1x Secondary School (2-St, Institutional, 5553sqm) + 1x QSR (1-St, Commercial, 232sqm) + 1x Small Retail (1-St, Commercial, 390sqm)"
,,,,,,,,,,
Existing,Mixed-Use Districts (MU),Urban Core,2. Downtown Residential,Medical Transit Hub,MU-C1,MU1, MU-P V1,Very high density (> 80 du/ac),-,"4x High-Rise (15-St, Residential, 784sqm) + 1x Medium Office (3-St, Commercial, 1661sqm) + 2x QSR (1-St, Commercial, 232sqm) + 2x FSR (1-St, Commercial, 511sqm) + 1x Small Hotel (4-St, Commercial, 1003sqm) + 1x Hospital (6-St, Commercial, 3739sqm) + 1x Small Retail (1-St, Commercial, 390sqm)"
Existing,Mixed-Use Districts (MU),Urban Core,2. Downtown Residential,Commerce Core,MU-C2,MU2, MU-P V2,Very high density (> 80 du/ac),-,"4x High-Rise (20-St, Residential, 784sqm) + 1x Large Office (10-St, Commercial, 3563sqm) + 1x Large Hotel (6-St, Commercial, 1979sqm) + 1x Standalone Retail (1-St, Commercial, 2294sqm) + 2x QSR (1-St, Commercial, 232sqm) + 2x FSR (1-St, Commercial, 511sqm)"
Proposed,Mixed-Use Districts (MU),Urban Core,4. Suburban Transit-Zone,Transit Tower,MU-U1,MU2/L,-,High density (35 - 80 du/ac),-,"4x High-Rise (20-St, Residential, 784sqm) + 1x Large Office (10-St, Commercial, 3563sqm) + 1x Standalone Retail (1-St, Commercial, 2294sqm) + 2x QSR (1-St, Commercial, 232sqm)"
Proposed,Mixed-Use Districts (MU),Urban Mid-zone,3. Urban Transition-Zone,Senior Hub,MU-L,MU3/L,-,Medium density (10 - 35 du/ac),-,"4x Mid-Rise (4-St, Residential, 784sqm) + 4x Small Office (1-St, Commercial, 511sqm) + 2x Small Retail (1-St, Commercial, 390sqm) + 2x QSR (1-St, Commercial, 232sqm)"
Existing,Mixed-Use Districts (MU),Suburban Inner,6. Midrise Suburb,Town Centre,MU-S1,MU4,MU-S,Medium density (10 - 35 du/ac),-,"5x Mid-Rise (4-St, Residential, 784sqm) + 1x Medium Office (3-St, Commercial, 1661sqm) + 2x QSR (1-St, Commercial, 232sqm) + 2x FSR (1-St, Commercial, 511sqm) + 1x Small Hotel (4-St, Commercial, 1003sqm) + 1x Standalone Retail (1-St, Commercial, 2294sqm) + 1x Supermarket (1-St, Commercial, 2090sqm)"
Proposed,Mixed-Use Districts (MU),Suburban Inner,6. Midrise Suburb,Retail Retrofit,MU-S2,MU4/L,-,Medium density (10 - 35 du/ac),-,"5x Mid-Rise (4-St, Residential, 784sqm) + 1x Standalone Retail (1-St, Commercial, 2294sqm) + 1x Supermarket (1-St, Commercial, 2090sqm) + 2x QSR (1-St, Commercial, 232sqm)"
Proposed,Mixed-Use Districts (MU),Suburban Inner,5. Streetcar Suburb,Innovation District,MU-W,MU5,-,Medium density (10 - 35 du/ac),-,"2x Mid-Rise (4-St, Residential, 784sqm) + 1x Warehouse (Eg, Industrial) (1-St, Industrial, 4598sqm) + 2x QSR (1-St, Commercial, 232sqm) + 1x Small Office (1-St, Commercial, 511sqm) + 1x Small Retail (1-St, Commercial, 390sqm)"
Proposed,Mixed-Use Districts (MU),Suburban Inner,5. Streetcar Suburb,Innovation District,MU-W2,MU5,-,Medium density (10 - 35 du/ac),-,"4x Small Warehouse (Eg, Industrial) (1-St, Industrial, 4598sqm) + 2x QSR (1-St, Commercial, 232sqm) + 4x Small Office (1-St, Commercial, 511sqm) + 2x Small Retail (1-St, Commercial, 390sqm)"
Proposed,Mixed-Use Districts (MU),,Urban Transition Health Service,Health-Service Mixed District,MU-HS,-,-,Medium density (10 - 35 du/ac),-,"3× Mid-Rise Apartment (4-St, Residential, 784 sqm/fl) + 14× Attached House (2-St, Residential, 7 units/row, 190 sqm/unit) + 1× Outpatient Health Care (3-St, Commercial, 1268 sqm/fl) + 1× Small Office (1-St, Commercial, 511 sqm) + 1× QSR (1-St, Commercial, 232 sqm) + 1× FSR (1-St, Commercial, 511 sqm) + 2× Small Retail (1-St, Commercial, 390 sqm)"
Proposed,Mixed-Use Districts (MU),,Urban Core Health-Commercial,Health-Commercial Urban Core,MU-HC,-,-,Medium density (10 - 35 du/ac),-,"2× High-Rise Apartment (10-St, Residential, 784 sqm/fl) + 2× Mid-Rise Apartment (4-St, Residential, 784 sqm/fl)+ 1× Outpatient Health Care (3-St, Commercial, 1268 sqm/fl) + 1× Medium Office (3-St, Commercial, 1661 sqm/fl) + 2× QSR (1-St, Commercial, 232 sqm) + 1× FSR (1-St, Commercial, 511 sqm) + 1× Small Hotel (4-St, Commercial, 1003 sqm/fl) + 1× Small Retail (1-St, Commercial, 390 sqm)"
,,,,,,,,,,
Existing,Commercial Centers (CC),Suburban Edge,9. Commercial Park,Retail Park,CC-S1,CC1,CC1,-,Medium FAR (0.4 - 1.5),"1x Supermarket (1-St, Commercial, 2090sqm) + 1x Standalone Retail (1-St, Commercial, 2294sqm) + 2x Small Retail (1-St, Commercial, 390sqm) + 2x QSR (1-St, Commercial, 232sqm) + 1x FSR (1-St, Commercial, 511sqm) + 1x Small Office (1-St, Commercial, 511sqm) + 1x Medium Office (3-St, Commercial, 1661sqm)"
Proposed,Commercial Centers (CC),Suburban Edge,9. Commercial Park,Compact Retail,CC-S2,CC1/L,-,-,Low FAR (< 0.4),"1x Supermarket (1-St, Commercial, 2090sqm) + 1x Standalone Retail (1-St, Commercial, 2294sqm) + 2x Small Retail (1-St, Commercial, 390sqm) + 2x QSR (1-St, Commercial, 232sqm)"
Existing,Commercial Centers (CC),Suburban Edge,9. Commercial Park,Business Hub,CC-B,CC2,CC2,-,High FAR (> 1.5),"1x Supermarket (1-St, Commercial, 2090sqm) + 1x Standalone Retail (1-St, Commercial, 2294sqm) + 1x Large Hotel (6-St, Commercial, 1979sqm) + 1x QSR (1-St, Commercial, 232sqm) + 1x FSR (1-St, Commercial, 511sqm) + 1x Large Office (10-St, Commercial, 3563sqm) + 1x Medium Office (3-St, Commercial, 1661sqm)"
,,,,,,,,,,
Proposed,Industrial Clusters (IC),Suburban Edge,10. Data Center Node,Enterprise Data Center,IC-DE,-,-,-,0.96,"6x DataCenterLargeHighITE (1-St, Industrial, 4598 sqm)+ 1x Medium Office (2-St, Commercial, 1661 sqm/fl)+ 1x Warehouse (1-St, Industrial, 2302 sqm) + 2x QSR (1-St, Commercial, 232sqm)"
Proposed,Industrial Clusters (IC),Suburban Edge,10. Data Center Node,Colocation Data Campus,IC-DC,-,-,-,0.99,"6x DataCenterLargeLowITE (1-St, Industrial, 4598 sqm)+ 3x Small Office (1-St, Commercial, 511 sqm)+ 1x Warehouse (1-St, Industrial, 1131 sqm) + 1x QSR (1-St, Commercial, 232sqm)"
,,,,,,,,,,
Proposed,Commercial Centers (CC),Urban Core,1. Financial District,"Education Campus, City Connection",CC-E1,CM1,-,-,High FAR (> 1.5),4× College · 1× Large Office · 1× MidriseApartment · 1× FSR · 2× QSR + 1× SmallDataCenterLowITE
Proposed,Commercial Centers (CC),Suburban Inner,3. Urban Transition-Zone,Commuter Research Campus,CC-E2,CM2,-,-,Medium FAR (0.4 - 1.5),3× College · 1× Medium Office · 1× Laboratory · 1× MidriseApartment · 1× Small Retail · 1× FSR · 1× QSR + 1× SmallDataCenterLowITE
Proposed,Commercial Centers (CC),Suburban Edge,9. Commercial Park,"Sprawl Research Campus, Self-Sufficient",CC-E3,CM3,-,-,Low FAR (< 0.4),3× College · 1× Laboratory · 3× MidriseApartment · 2× Small Office · 1× Outpatient · 1× FSR · 1× QSR + 1× SmallDataCenterHighITE
,,,,,,,,,,
Poposed,Commercial Centers (CC),Urban Core,1. Financial District,Vertical Business District,CC-FD1,FN1,-,-,High FAR (> 1.5),1× SuperTallBuilding + 1× TallBuilding + 1× HotelSmall + 1× Supermarket + 2× RestaurantSitDown + 2× RestaurantFastFood + 1× RetailStandalone
Poposed,Commercial Centers (CC),Urban Core,1. Financial District,Live-Work Tower,CC-FD2,FN2,-,-,High FAR (> 1.5),1× TallBuilding + 1× OfficeLarge + 1× HotelSmall + 1× Supermarket + 2× RestaurantSitDown + 2× RestaurantFastFood + 2× Small_Retail 
Poposed,Commercial Centers (CC),Urban Core,1. Financial District,Urban Canyon,CC-FD3,FN-S,-,-,High FAR (> 1.5),2× TallBuilding + 2× OfficeMedium +1× HotelLarge + 1× Supermarket + 21 RestaurantSitDown + 4× RestaurantFastFood + 1× RetailStripmall
